businessName,contactName,phone,city,state,businessType,score,address
Ufberg Dental P.C.,,+16102512227,,NJ,dentist,90,NJ
Bear-Glasgow Dental,,+13028863750,,NJ,dentist,90,"1102 Pulaski Highway, NJ"
Franklinville Family Dentistry,,+18566945555,Franklinville,NJ,dentist,90,"2005 Delsea Drive, Franklinville, NJ"
Pete's Auto Service,,+16102963655,,NJ,auto repair shop,80,"202 East King Street, NJ"
Exton Collision,,+16103633555,,NJ,auto repair shop,80,"390, NJ"
"Joseph Hart, Inc. Plumbing",,+18566244173,,NJ,plumber,80,"1140 US Highway 40, NJ"
Tri-Point Electric,,+12158175030,Havertown,PA,electrician,80,"1315 Lawrence Road, Havertown, PA"
Bounce U,,+12157529728,Langhorne,NJ,daycare center,80,"2221 Cabot Boulevard West, Langhorne, NJ"
The UPS Store,,+12152222840,Philadelphia,PA,printing shop,80,"3720 Spruce Street, Philadelphia, PA"
Italo's Tailor Shop,,+13023668031,Newark,DE,alterations tailor,80,"64 East Main Street, Newark, DE"
Sunsilk Tailor,,+12152516925,,NJ,alterations tailor,80,NJ
Tino's Custom Tailoring & Dry Cleaning,,+16104495585,Havertown,PA,alterations tailor,80,"2407 West Darby Road, Havertown, PA"
